"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Sep 07 09:08:35 GMT 2021","Tue Sep 07 09:08:35 GMT 2021","0","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","dataColumnTestIndex","dataColumnTestIndex",""
"skipped","Tue Sep 07 09:08:35 GMT 2021","Tue Sep 07 09:08:35 GMT 2021","5","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","atLeastTest","atLeastTest",""
"skipped","Tue Sep 07 09:08:35 GMT 2021","Tue Sep 07 09:08:35 GMT 2021","0","Test suite","Tests","org.mytests.tests.example.MenuTests","org.mytests.tests.example.MenuTests","customMenuTest","customMenuTest",""
"skipped","Tue Sep 07 09:08:35 GMT 2021","Tue Sep 07 09:08:35 GMT 2021","0","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","rowDataExactMatcherTest","rowDataExactMatcherTest",""
"skipped","Tue Sep 07 09:08:35 GMT 2021","Tue Sep 07 09:08:35 GMT 2021","0","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","noRowsTest","noRowsTest",""
"skipped","Tue Sep 07 09:08:35 GMT 2021","Tue Sep 07 09:08:35 GMT 2021","1","Test suite","Tests","org.mytests.tests.example.FormTests","org.mytests.tests.example.FormTests","fillContactFormTest","fillContactFormTest",""
"skipped","Tue Sep 07 09:08:35 GMT 2021","Tue Sep 07 09:08:35 GMT 2021","0","Test suite","Tests","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","longTextTest","longTextTest",""
"skipped","Tue Sep 07 09:08:35 GMT 2021","Tue Sep 07 09:08:35 GMT 2021","0","Test suite","Tests","org.mytests.tests.example.FormTests","org.mytests.tests.example.FormTests","fillContactsTest","fillContactsTest",""
"skipped","Tue Sep 07 09:08:35 GMT 2021","Tue Sep 07 09:08:35 GMT 2021","2","Test suite","Tests","org.mytests.tests.example.MenuTests","org.mytests.tests.example.MenuTests","menuTest","menuTest",""
"skipped","Tue Sep 07 09:08:35 GMT 2021","Tue Sep 07 09:08:35 GMT 2021","0","Test suite","Tests","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","bigDropdownTest","bigDropdownTest",""
"skipped","Tue Sep 07 09:08:35 GMT 2021","Tue Sep 07 09:08:35 GMT 2021","1","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","exactMatcherTest","exactMatcherTest",""
"skipped","Tue Sep 07 09:08:35 GMT 2021","Tue Sep 07 09:08:35 GMT 2021","0","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","rowTableMatcherSingleTest","rowTableMatcherSingleTest",""
"skipped","Tue Sep 07 09:08:35 GMT 2021","Tue Sep 07 09:08:35 GMT 2021","0","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","dataFilterTest","dataFilterTest",""
"skipped","Tue Sep 07 09:08:35 GMT 2021","Tue Sep 07 09:08:35 GMT 2021","1","Test suite","Tests","org.mytests.tests.example.FormTests","org.mytests.tests.example.FormTests","loginTest","loginTest",""
"skipped","Tue Sep 07 09:08:35 GMT 2021","Tue Sep 07 09:08:35 GMT 2021","1","Test suite","Tests","org.mytests.tests.example.DataTableInteractTests","org.mytests.tests.example.DataTableInteractTests","lineFilterTest","lineFilterTest",""
"skipped","Tue Sep 07 09:08:35 GMT 2021","Tue Sep 07 09:08:35 GMT 2021","0","Test suite","Tests","org.mytests.tests.example.DataTableInteractTests","org.mytests.tests.example.DataTableInteractTests","linesFilterTest","linesFilterTest",""
"skipped","Tue Sep 07 09:08:35 GMT 2021","Tue Sep 07 09:08:35 GMT 2021","0","Test suite","Tests","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","hugeTableSearchTest","hugeTableSearchTest",""
"skipped","Tue Sep 07 09:08:35 GMT 2021","Tue Sep 07 09:08:35 GMT 2021","0","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","tableParamsTest","tableParamsTest",""
"skipped","Tue Sep 07 09:08:35 GMT 2021","Tue Sep 07 09:08:35 GMT 2021","0","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","rowTableMatcherTest","rowTableMatcherTest",""
"skipped","Tue Sep 07 09:08:35 GMT 2021","Tue Sep 07 09:08:35 GMT 2021","1","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","previewTest","previewTest",""
"skipped","Tue Sep 07 09:08:35 GMT 2021","Tue Sep 07 09:08:35 GMT 2021","1","Test suite","Tests","org.mytests.tests.example.DataTableInteractTests","org.mytests.tests.example.DataTableInteractTests","lineByIndexTest","lineByIndexTest",""
"skipped","Tue Sep 07 09:08:35 GMT 2021","Tue Sep 07 09:08:35 GMT 2021","0","Test suite","Tests","org.mytests.tests.example.DataTableInteractTests","org.mytests.tests.example.DataTableInteractTests","lineByNameTest","lineByNameTest",""
"skipped","Tue Sep 07 09:08:35 GMT 2021","Tue Sep 07 09:08:35 GMT 2021","0","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","tableChainTest","tableChainTest",""
"skipped","Tue Sep 07 09:08:35 GMT 2021","Tue Sep 07 09:08:35 GMT 2021","2","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","allDataFilterTest","allDataFilterTest",""
"broken","Tue Sep 07 09:08:35 GMT 2021","Tue Sep 07 09:08:35 GMT 2021","2","Test suite","Tests","org.mytests.tests.example.DataTableInteractTests","org.mytests.tests.example.DataTableInteractTests","setUp","setUp",""
"skipped","Tue Sep 07 09:08:35 GMT 2021","Tue Sep 07 09:08:35 GMT 2021","0","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","valueTest","valueTest",""
"skipped","Tue Sep 07 09:08:35 GMT 2021","Tue Sep 07 09:08:35 GMT 2021","0","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","commonMatchersTest","commonMatchersTest",""
"skipped","Tue Sep 07 09:08:35 GMT 2021","Tue Sep 07 09:08:35 GMT 2021","1","Test suite","Tests","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","hugeTableValidateTest","hugeTableValidateTest",""
"skipped","Tue Sep 07 09:08:35 GMT 2021","Tue Sep 07 09:08:35 GMT 2021","1","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","rowMatcherTest","rowMatcherTest",""
"skipped","Tue Sep 07 09:08:35 GMT 2021","Tue Sep 07 09:08:35 GMT 2021","0","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","dataColumnNameTest","dataColumnNameTest",""
"skipped","Tue Sep 07 09:08:35 GMT 2021","Tue Sep 07 09:08:35 GMT 2021","0","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","rowsAllTest","rowsAllTest",""
"skipped","Tue Sep 07 09:08:35 GMT 2021","Tue Sep 07 09:08:35 GMT 2021","0","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","rowDataMatcherTest","rowDataMatcherTest",""
